top - 23:30:41 up  7:42,  1 user,  load average: 0.40, 0.45, 0.43
Tasks: 350 total,   1 running, 348 sleeping,   0 stopped,   1 zombie
%Cpu(s):  2.5 us,  2.0 sy,  0.5 ni, 95.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15736.3 total,   9436.6 free,   2759.0 used,   3540.7 buff/cache
MiB Swap:   9537.0 total,   9537.0 free,      0.0 used.  11643.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    957 root      20   0  176360  12716  11060 S   0.0   0.1   0:00.06 cups-br+
    972 root      20   0  315104  11664   9852 S   0.0   0.1   0:00.03 ModemMa+
   1083 root      20   0  126784  22836  14704 S   0.0   0.1   0:00.03 unatten+
   1100 root      20   0  326364   9812   8548 S   0.0   0.1   0:02.02 upowerd
   1150 root      20   0    8372   4940   4540 S   0.0   0.0   0:00.01 bluetoo+
   1302 root     -51   0       0      0      0 S   0.0   0.0   0:00.79 irq/159+
   1421 whoopsie  20   0  253136  15492  13612 S   0.0   0.1   0:00.06 whoopsie
   1425 kernoops  20   0   11268    448      0 S   0.0   0.0   0:00.58 kernelo+
   1434 kernoops  20   0   11268    444      0 S   0.0   0.0   0:00.56 kernelo+
   1496 root      20   0  248252   8568   7384 S   0.0   0.1   0:00.04 gdm3
   1539 rtkit     21   1  152936   3012   2776 S   0.0   0.0   0:00.26 rtkit-d+
   1833 colord    20   0  254900  14852   9580 S   0.0   0.1   0:00.07 colord
   2010 root      20   0  323300  10268   8540 S   0.0   0.1   0:00.05 gdm-ses+
   2017 hitcrt    20   0   19896  10504   8076 S   0.0   0.1   0:00.86 systemd
   2018 hitcrt    20   0  169836   3640      4 S   0.0   0.0   0:00.00 (sd-pam)
   2023 hitcrt     9 -11 3358688  20080  15792 S   0.0   0.1   0:16.98 pulseau+
   2025 hitcrt    39  19  520248  24720  16500 S   0.0   0.2   0:01.04 tracker+
   2029 hitcrt    20   0    8828   5944   3924 S   0.0   0.0   0:03.28 dbus-da+
   2031 hitcrt    20   0  248824   7448   6512 S   0.0   0.0   0:00.31 gnome-k+
   2049 hitcrt    20   0  248352   7688   6736 S   0.0   0.0   0:00.18 gvfsd
   2054 hitcrt    20   0  378352   6480   5820 S   0.0   0.0   0:00.00 gvfsd-f+
   2061 hitcrt    20   0  322572   9332   7700 S   0.0   0.1   0:00.21 gvfs-ud+
   2068 hitcrt    20   0  246752   7424   6592 S   0.0   0.0   0:00.16 gvfs-gp+
   2073 hitcrt    20   0  244516   5968   5436 S   0.0   0.0   0:00.15 gvfs-go+
   2077 hitcrt    20   0  561936  34668  28488 S   0.0   0.2   0:00.04 goa-dae+
   2081 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   2088 hitcrt    20   0  323396   8956   7916 S   0.0   0.1   0:00.09 goa-ide+
   2094 hitcrt    20   0  244344   5732   5108 S   0.0   0.0   0:00.14 gvfs-mt+
   2098 hitcrt    20   0  325364   8904   7876 S   0.0   0.1   0:01.10 gvfs-af+
   2115 hitcrt    20   0  172656   6464   5828 S   0.0   0.0   0:00.01 gdm-x-s+
